date,open,high,low,close,volume
2018-07-17,246.21,254.3,245.18,253.69,9053395
2018-07-18,253.39,253.95,249.64,251.7,6941041
2018-07-19,250.94,253.39,250.33,252.03,5893783
2018-07-20,251.93,253.5,250.45,250.89,5562161
2018-07-23,249.82,249.89,243.28,249.41,7539621
2018-07-24,251.35,254.85,248.0,248.71,8865545
2018-07-25,249.09,252.38,246.75,251.87,8004551
2018-07-26,251.06,256.33,250.38,254.84,8128128
2018-07-27,256.32,256.6,249.84,252.02,7385535
2018-07-30,252.59,252.83,242.72,244.13,8508539
2018-07-31,243.71,247.88,242.1411,244.86,7099696
2018-08-01,246.13,248.3599,243.886,246.47,7088889
2018-08-02,243.59,250.78,241.21,250.62,6741689
2018-08-03,251.61,253.06,250.93,252.1,5357202
2018-08-06,251.59,254.17,249.7059,254.03,5187665
2018-08-07,256.0,257.7,254.9201,256.95,6453260
2018-08-08,257.0,260.24,255.59,258.42,6552462
2018-08-09,259.14,259.25,256.15,256.46,5106962
2018-08-10,253.15,256.1,252.7,254.79,6415668
2018-08-13,255.14,261.0,255.07,256.12,9380158
2018-08-14,260.38,262.0,257.02,261.43,11655486
2018-08-15,262.27,263.639,255.9,259.08,14778394
2018-08-16,261.9,262.0,255.01,257.44,20031476
2018-08-17,252.94,252.97,243.73,244.82,28579694
